sample,VatanenT_2016.metaphlan_bugs_list.stool:G78496,VatanenT_2016.metaphlan_bugs_list.stool:G78500,VatanenT_2016.metaphlan_bugs_list.stool:G78505,VatanenT_2016.metaphlan_bugs_list.stool:G78636,VatanenT_2016.metaphlan_bugs_list.stool:G78842,VatanenT_2016.metaphlan_bugs_list.stool:G78850,VatanenT_2016.metaphlan_bugs_list.stool:G78851,VatanenT_2016.metaphlan_bugs_list.stool:G78892,VatanenT_2016.metaphlan_bugs_list.stool:G78907,VatanenT_2016.metaphlan_bugs_list.stool:G78908,VatanenT_2016.metaphlan_bugs_list.stool:G80264,VatanenT_2016.metaphlan_bugs_list.stool:G80282,VatanenT_2016.metaphlan_bugs_list.stool:G80287,VatanenT_2016.metaphlan_bugs_list.stool:G80290,VatanenT_2016.metaphlan_bugs_list.stool:G80293,VatanenT_2016.metaphlan_bugs_list.stool:G80303,VatanenT_2016.metaphlan_bugs_list.stool:G80306,VatanenT_2016.metaphlan_bugs_list.stool:G80327,VatanenT_2016.metaphlan_bugs_list.stool:G80329,VatanenT_2016.metaphlan_bugs_list.stool:G80385,VatanenT_2016.metaphlan_bugs_list.stool:G80397,VatanenT_2016.metaphlan_bugs_list.stool:G80486,VatanenT_2016.metaphlan_bugs_list.stool:G80526,VatanenT_2016.metaphlan_bugs_list.stool:G80534
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0,0,0,0,0,0,0,0.00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0,0.0729,0.09957,0,0,0,0,0,0.33854,0.24855,0.28356,0.12858,0.21611,0.33926,0.29042,0,0.01826,0.10936,1.93917,0.00724,0.01345,0.036,0.17606,0.00901
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.16515,0.00867,0.07485,0,0,1.33951,0.14128,0.04419,0,2.27499,0.04953,0.00774,0.06864,0.04043,0,0.39191,0.00843,0.22237,0,0,0.02104,0,0.21158,0.015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0,0,0.01277,0,0,0,0.011,0,0.03003,0.14822,0,0.00257,0.00186,0,0.00444,0.00228,0,0,0,0,0,0,0.00266,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister,40.63248,0,13.14837,0,0.32567,4.94805,2.16722,44.62429,29.58689,0.62212,4.91461,0.99659,9.59697,2.83322,0.37113,0,2.24549,5.93249,0,6.036,5.47295,0,16.42285,0.476
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,1.01241,57.43615,18.36461,25.32844,0.17059,1.25284,0.08731,6.02242,0,0.00777,3.23918,0.29879,7.47267,3.36969,1.83578,0,0.44848,8.04726,0.00615,3.43602,0.00052,5.51958,0.00848,0.68071
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,0.02712,0.0371,23.26606,0.94165,0.07329,9.67645,0.29011,0.54455,2.42951,15.20064,0.01627,1.0858,2.58673,0.0409,0.07942,9.22474,0.00933,0.35882,0.03249,0.00469,0.11057,0.2794,0.56818,0.39907
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella,0,0,0.01075,0,0,0,0,0,0,0,0,0,0.04736,0,0,0.23303,0,0.21274,0,0,0,0.02898,0,0.16473
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,9.73758,27.59242,7.10329,16.47271,40.66564,19.11837,8.60466,2.9386,25.38126,13.29312,13.71352,70.81032,18.62403,66.93669,53.29641,31.00701,62.74439,0.33928,44.36644,9.69081,47.20192,64.65977,25.59103,14.12052
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname,0,1.02238,0.20179,0,0,0.80406,1.71477,0,0.16465,0,0,0,0,0.24173,0,0,0,0,0,0,12.7162,0.32594,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,2.27543,0.12338,6.37928,3.66129,1.50345,7.82615,22.18667,3.06312,4.57042,24.8627,1.48287,0.06026,24.57107,0.47351,4.33125,18.32914,0.90164,12.62062,0.11496,0.60217,1.32966,0.90528,0.36117,1.5787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.53196,0.2005,0.56512,0.45536,0.33562,8.92688,1.44529,0.87852,5.16183,2.16727,0.23931,1.12792,2.75022,0.4375,0.49552,2.85552,0.58218,4.10649,2.13111,0.10924,0.67709,0.98486,3.94773,1.21421
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,0,0.06378,0.11085,0,0,0,0,0,0,0,0,0,0.00855,0,0,0.16778,0,0.05168,0,0,0,0.25384,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,10.63958,0.04328,20.56615,0.04123,14.16521,13.40775,5.26295,11.62493,3.39261,9.60295,2.90323,10.67115,2.24358,6.07578,7.60714,0.00118,4.32959,18.93804,0.03586,2.39687,9.47887,0.48207,7.91969,25.48162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,1.62674,0.25301,2.56413,2.25183,4.31078,5.35466,14.88972,3.50924,1.18745,1.38709,2.46067,0.0449,0.88963,4.83806,0.38652,2.17224,1.55711,4.50567,0.03222,1.57076,0.27484,0.69533,0.08935,23.80664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,3.62878,0.84137,0.89464,5.72357,13.18855,1.89222,1.26098,1.78684,7.39481,3.49772,3.48003,3.97765,0.7384,0.13396,0.57035,0.00304,1.42797,6.41529,0.52799,2.42789,2.1549,1.84293,1.7829,0.33343
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.3196,0.03141,0.5699,0,0,1.34898,0.11101,0.00987,0.41393,0.89327,0.03876,0.25458,0.16961,0,0.12589,0.24952,0.18657,0.61908,0.33599,0.00283,0.0778,0.01548,1.21302,0.23336
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,3.08606,0.80539,1.08236,0.9489,0.89034,0,1.36148,0.13376,12.27668,4.53466,0.6894,0.73811,8.99253,1.36701,3.18028,0,0,11.7864,1.52496,0.07364,0.85929,2.82567,26.5561,8.39282
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,14.76243,0.64835,3.30043,2.68366,4.09118,2.81273,23.2379,3.24548,0.23614,4.09146,12.52127,5.90185,1.26767,4.19549,20.2267,1.85604,3.85897,16.45854,0.02375,4.48408,2.8813,2.05857,3.33823,5.59745
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,0,0.23095,0.05512,0.93214,0,0.02629,0,0.07847,0.18524,0.03308,7.73757,0.00601,0.43584,0,0,4.06723,1.63101,0,0.02084,0.48915,0,2.72671,0.27712,0
