sample,LiJ_2014.metaphlan_bugs_list.stool:DLF005-IE,LiJ_2014.metaphlan_bugs_list.stool:DLM006-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM005-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM017-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM025-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF007-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF013-IE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,6.27433,0.22634,0.41439,1.25651,2.42067,2.98295,0.83766,1.28933,1.86379,0.12918,0.43941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,5.64549,2.28522,0.00761,9.88517,0,2.62171,6.64181,8.86655,7.23156,3.39945,3.55934
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,4.04327,0.65564,0,0.2139,0.15187,0.85062,0.1405,0.31619,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname,2.41553,0.48095,0.16552,0.18589,1.68979,2.1096,0.06224,0.20145,0.30364,1.36903,1.69905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella,2.3863,0.00132,0,0,0,0,0,0.02136,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,2.12132,0.11635,0.75415,0.6376,0.63168,9.03262,0.08066,1.44939,0,1.04209,1.12232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,1.76895,3.9315,0,0,0,0,0,0.44697,0.00015,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,1.22375,0,0,0,0.02054,0.01045,0,0.02855,0,0,13.48713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,0.56592,0.08033,6.35259,0.0959,0.9214,1.14364,0.19432,0.4422,3.75026,0.35919,0.43597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.54395,0.51577,0.05026,0.13787,1.35824,0.44948,0.19684,1.61367,0.28739,0.85517,0.92154
