sample,VatanenT_2016.metaphlan_bugs_list.stool:G69178,VatanenT_2016.metaphlan_bugs_list.stool:G69225,VatanenT_2016.metaphlan_bugs_list.stool:G78489,VatanenT_2016.metaphlan_bugs_list.stool:G78490,VatanenT_2016.metaphlan_bugs_list.stool:G78494,VatanenT_2016.metaphlan_bugs_list.stool:G78599,VatanenT_2016.metaphlan_bugs_list.stool:G78600,VatanenT_2016.metaphlan_bugs_list.stool:G78624,VatanenT_2016.metaphlan_bugs_list.stool:G78653,VatanenT_2016.metaphlan_bugs_list.stool:G78654,VatanenT_2016.metaphlan_bugs_list.stool:G78655,VatanenT_2016.metaphlan_bugs_list.stool:G78687,VatanenT_2016.metaphlan_bugs_list.stool:G78803,VatanenT_2016.metaphlan_bugs_list.stool:G78804,VatanenT_2016.metaphlan_bugs_list.stool:G78805,VatanenT_2016.metaphlan_bugs_list.stool:G78806,VatanenT_2016.metaphlan_bugs_list.stool:G78823,VatanenT_2016.metaphlan_bugs_list.stool:G78854,VatanenT_2016.metaphlan_bugs_list.stool:G78856,VatanenT_2016.metaphlan_bugs_list.stool:G78857,VatanenT_2016.metaphlan_bugs_list.stool:G78858,VatanenT_2016.metaphlan_bugs_list.stool:G78870,VatanenT_2016.metaphlan_bugs_list.stool:G78871,VatanenT_2016.metaphlan_bugs_list.stool:G80268,VatanenT_2016.metaphlan_bugs_list.stool:G80274,VatanenT_2016.metaphlan_bugs_list.stool:G80288,VatanenT_2016.metaphlan_bugs_list.stool:G80296,VatanenT_2016.metaphlan_bugs_list.stool:G80297,VatanenT_2016.metaphlan_bugs_list.stool:G80312,VatanenT_2016.metaphlan_bugs_list.stool:G80318,VatanenT_2016.metaphlan_bugs_list.stool:G80322,VatanenT_2016.metaphlan_bugs_list.stool:G80347,VatanenT_2016.metaphlan_bugs_list.stool:G80387,VatanenT_2016.metaphlan_bugs_list.stool:G80420,VatanenT_2016.metaphlan_bugs_list.stool:G80424
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,7.24702,1.0545,2.27801,3.84908,0.29778,0.13867,0.76571,0.05276,0.2316,0.13145,1.77421,0.85661,0.07122,2.38993,1.30378,6.9729,0.61766,0.05402,0.06123,0.15106,0,0.11009,0.03642,0,0.24791,0.0215,0.53617,0.27294,0,0.7197,0.12431,0.24746,0.3631,0.11804,1.53113
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.02521,4.2769,0.00776,0,0.0094,0.00679,0.43172,0.08599,0.56374,0,0,0.08349,0.0373,0.03489,0.03011,0.02425,0.13577,0.99993,0.34183,1.55329,0.0368,3.61127,0.27664,0.19912,2.53692,0.06969,0.30209,0.76364,0,0.0645,0.45959,0,0.21478,0.1224,0.0289
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.16813,0.06139,0.00882,0,0.01758,0.00787,0.01433,0,0.00235,0.21171,1.89477,0.07966,0.04739,0.03754,0.27794,0.86113,0.3247,0.07446,0.01349,0.05213,0.00768,0.0373,0.07907,0,0.07239,0.02091,0.04363,0.15669,0,0.04689,2.1399,0.07267,0.01253,0.0308,0.03499
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.19586,3.71023,0,0.95739,0,0,0,0,0,0,0.00729,0,3.41442,0,0,0.0079,0.51188,56.01747,0.00903,0,1.29683,65.33051,22.73774,28.08515,13.21569,17.2184,0.00975,0,0.00049,0,21.00176,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01661,0,0,0,0,0,0,0.01093,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0.1065,0,0.00411,0.01269,0.0777,0.01486,0,0,0.00645,0.46866,0.00841,0,0,0.02575,0.02718,0.42789,0.02969,0,0.0273,0,0,0,0.12532,0,0.11328,0,0.05819,0.00145,0,0.02008,0,0.15902,0.0884,0.01141,0.08118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0,0.06448,0.09798,0,0.05974,0.04372,0.03254,0.09567,0.00455,0.26148,0.10692,0.09246,0.07844,0.0217,0.10983,0.151,0.13422,0.02156,0,0.10351,0.18024,0.07878,0.1405,0.23849,0.43695,0,0.03419,0.055,0,0.08216,0.05994,0.16799,0.15629,0.18307,0.15282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0,0,0,0,0,0,0,0,0,0,0.02924,0,0,0,0,0,0,0,0,0,0,0.02123,0,0,0,0,0,0,0,0,0,0,0.00499,0,0
