sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0,0.00255,0.0062,0.0348,0.02219,0,0,0.00109,0.09932,0,0,0,0.0052,0,0,0.00506,0.01543,0,0,0.00699,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,1.9898,0.18805,0.03223,0.03355,0.33691,0.51995,0.00584,0.09777,0.04706,0.26878,0.00971,0.02059,0.00304,0,0.02095,0.06995,0,0.10434,0.11255,1.38816,0,0.13704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,0,0.02477,0.0841,0.06769,0.79342,2.50268,0.27222,0.07607,0.53991,3.19529,4.8645,0.45859,0.34335,2.50664,0.52178,0.02696,0.03784,1.20243,1.44516,0.94675,1.27433,3.19721
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.12336,1.21849,0.03271,0.02344,0.01819,0.02242,0,0.09258,0.79773,0.11418,0.34877,0.01412,0.11092,0.05672,0.01063,0.42598,0.2568,0.04783,0.07343,0.04454,0.0797,0.02318
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,31.47869,0.02318,2.97552,6.76482,0.03134,0.0258,0,0,0,0,0.00039,0,0,0.00155,0,0,0,0,0,0,0,0.88987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,1.48447,11.14356,18.49567,32.76276,2.87297,9.55922,18.62657,27.93067,1.19369,13.89419,2.98385,11.81109,33.70698,7.20923,30.0093,4.22111,8.47725,27.98033,12.56004,2.26788,6.36125,10.31907
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46328,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,0.03326,17.63957,4.39318,6.92824,2.82534,4.39484,13.42783,10.43838,13.48374,16.38576,1.94423,4.17708,12.83249,13.16019,7.1255,65.31592,32.14622,8.05899,1.68375,24.39105,21.39219,27.6568
