sample,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,10.53073,2.40033,0.51316,2.66397,1.2913,0.42892,0.80278,2.12934,2.59678,1.74911,2.28555,1.43699,1.70391,1.76143,3.60095,3.19516,0.90735,2.69127,1.327,3.01124,3.79092,3.11556,4.21679,0.89504,2.89938,0.54789,1.14086,1.21997
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,3.2551,2.20982,16.24661,1.92456,1.87347,0.2308,1.6211,1.28292,3.53347,1.12402,1.28212,3.13247,2.86731,0.27321,2.63975,1.2444,1.68287,2.05637,1.46265,3.42492,17.96077,0.70812,2.21913,1.42768,1.85059,2.58953,1.35235,1.91512
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.06463,0,0,0,0.20956,0,2.79016,0.15788,1.32522,0.00128,0.93072,0,0,0,0,2.21418,1.29842,0.34789,0.14374,2.99499,0.11991,0.18584,0,0,0,1.23113,0.00273,0.95426
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,1.21063,0.13896,0,1.11753,0.66687,0.01348,0.57764,0.11429,0.77589,0.04969,0.54239,0.10668,0.36138,0.01578,0.11843,0.04578,0.33208,0.14741,0.18504,0.14288,0.64405,0.62071,1.14957,0.56733,0.80993,0.95381,0.0818,0.48504
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,0.1939,0.22972,1.66527,0.41745,0.07249,0.06315,0.27691,0.15618,0.12035,0.04809,0.17975,0.14877,0,0,0.38282,0.0958,0.60383,0,0.15112,0.34263,0.23016,0.33775,0.44814,0.16537,0.84386,0,0.08666,0.38972
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,0.99906,0.03295,0.05818,0.81135,0.01137,0.27708,0,0.17067,0.57806,0.3441,0.12068,0.03041,0,0.27626,0,0.00965,2.07718,0,0.55383,1.07825,2.80257,0.71426,0.05062,0.1576,0.00167,0.02296,0.6334,0.34396
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,0.10313,0.09176,0,0.25941,0.18932,0,0.16829,0,0.29262,0.01421,0.11547,0.12169,0.6354,0.03086,0.07758,0.35583,0.05791,0.14759,0.10476,0.44847,0.33823,1.15617,0.60264,0.1316,0,0,0.01536,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.42632,0.52563,3.87901,0.58015,0.28784,7.60876,0.69194,0.65161,0.93987,12.66067,0.10075,1.58676,11.99011,1.58568,1.18539,8.82625,0.57127,4.49818,0.4204,1.65214,0.44561,12.59661,0.35584,1.23567,1.04764,0.54219,4.86616,0.13781
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.06955,0.00559,0.04515,0.00563,0.00665,0.00429,0,0.03651,0.03939,0.02053,0.03424,0.03276,0.04668,0.05638,0.01562,0.02509,0.10022,0.05751,0.041,0.01991,0.02285,0.01993,0.03497,0.01657,0.01858,0.0381,0.00602,0.01628
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.07743,0.04627,0.46539,0.06654,0,2.90455,0.07861,0.00714,0.02063,1.16877,0.02887,0.0671,0.58836,1.00652,2.09467,0.13757,0.81497,0.01144,0.13316,0.24864,0.42767,5.09675,5.24904,0.12777,0.10081,0.08973,1.52487,5.69842
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.09008,1.04841,0.17796,0.01466,0.08358,0,0.07795,0,0.24127,0.18862,0.02801,0.484,0.03062,0.20273,0.49834,0.09358,0.02404,0.05248,0.03732,0.01538,0.94864,0.31728,0.03845,0.11555,0.03828,0.06442,0.0526,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis,0,0.00368,0.01016,0,0,0,0,0,0,0.00641,0.02756,0.00958,0.00622,0.00505,0.02225,0.00452,0.00863,0,0,0.00746,0.0035,0.00565,0.00141,0,0.00766,0,0.01412,0.00845
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0.06528,0.00039,0.0796,0.08648,0.01686,0,0.00174,0,0.01905,0,0.0185,0.00254,0.15068,0,0.00565,0.02282,0.26006,0,0.01287,0.02223,0.27105,0,0.18226,0.02813,0.05784,0.03907,0,0.01376
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,0,0,0,0,0,0,0.0046,0,0,0,0.01577,0,0,0,0.00533,0,0,0,0,0,0,0,0.00455,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0,0,0.00636,0,0.00576,0,0,0,0,0.00647,0.00632,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.00251,0.21573,0.01143,11.49298,0.05265,0.71721,0.03519,3.68864,0.02552,5.70523,0.00477,0.11868,0.13778,0.14992,0.11145,0,0.02563,0.07077,2.22377,5.75792,0.06856,2.61767,0.00018,0.44353,1.98686,3.5116,0.22721,0
