k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Proteobacteria,k__Viruses|p__Viruses_noname,Susciptability to SARS-CoV-2
61.73739,10.83617,26.37745,0.65905,0.00199,0.35995,0.02802,Very High
42.63863,25.53171,18.91629,11.96519,0.0988,0.84938,0,Very High
51.92714,0.06513,47.24344,0,0,0.74527,0,Medium
46.64172,1.07039,50.7226,0,0,1.45494,0.00331,Medium
34.11142,56.21858,9.2172,0,0.23834,0.21447,0,Very High
12.41049,0.9143,83.2597,0,0.01245,3.23284,0.11923,Medium
29.54226,0.37287,66.36341,0,0.32502,3.39644,0,Medium
35.36271,0.36509,45.98046,0.03498,6.49038,8.4287,0.34262,Medium
20.31384,14.04039,62.58748,0.27274,0,2.63847,0.14708,High
49.24086,4.09733,45.07025,0,0.00656,1.58453,0,Medium
45.21818,13.00982,32.80006,0,0,8.91387,0.00417,Medium
42.99299,36.87582,15.43163,1.94448,2.42915,0.29227,0.02799,Very High
65.344,2.41873,32.14964,0.00675,0.00329,0.07759,0,Medium
55.73538,13.89183,29.18616,0,0,1.18662,0,Very High
63.9298,7.12305,28.27982,0,0,0.66732,0,Very High
14.45321,0.48003,84.29453,0,0,0.77074,0,High
14.87839,0.3705,80.87191,0,0,3.33723,0.0029,Medium
45.8261,3.08352,12.72,12.60958,21.25673,4.33904,0,Medium
32.20198,16.47393,46.75167,0,3.06679,1.50564,0,Medium
44.30717,28.36194,8.49976,0,17.79021,1.04091,0,Very High
22.86235,0.52532,74.44837,0,0.65564,1.50831,0,Medium
46.3464,19.29767,34.18654,0,0,0.1694,0,Very High
69.92404,14.50169,13.02894,0,1.61455,0.93078,0,Very High
65.27805,0.27323,30.82719,0,0,2.601,0.90664,Medium
68.52007,2.60229,23.17719,0,3.5216,2.10744,0.05611,Medium
35.94693,48.1138,7.26896,0,8.22649,0.44383,0,Very High
68.35937,20.72065,8.76386,0,0.43596,1.70289,0.0159,Medium
14.78677,0.11016,76.80767,0,0.11614,8.17927,0,Medium
79.38339,2.50641,8.3299,0.79693,0,8.65344,0,Low
86.39097,8.86069,0.5754,0.1607,2.47218,1.50161,0,Medium
75.78711,1.20718,20.01727,0,0,2.98732,0,Medium
60.7188,1.88315,33.35482,0.00654,2.3262,1.71049,0,Medium
23.10313,1.49114,72.83374,0,0.05937,2.51262,0,Medium
14.80722,0.03859,79.07173,0,0,6.07767,0.00479,Medium
33.62334,1.65984,56.15985,0,4.52073,2.48212,0.0022,Medium
38.35013,0.27817,58.75018,0,0,2.62152,0,Medium
60.85221,4.69363,5.17511,2.46404,0,24.71341,0,Low
54.53293,27.36928,17.62005,0,0,0.47283,0,Very High
65.29399,2.32315,26.45086,1.95509,0.98841,2.80852,0.17072,Medium
40.44961,2.11094,30.82186,1.24887,0,24.58392,0.01328,Low
86.06705,0.5715,6.70378,0.03761,0,5.94478,0.17214,Low
12.77554,0.08208,84.15447,0,0,2.98791,0,Medium
77.1858,9.57356,13.15909,0,0,0.08155,0,Very High
51.50823,22.51284,25.01414,0,0.41023,0.54663,0.00794,Very High
